timestamp,message,seq_num,resource,event
4041.887227854,mom,67,cashier,pipe.in
4108.897178575,mom,68,cashier,pipe.in
4126.856075832,mom,43,cashier,resource.serve
4126.856075832,mom,44,cashier,pipe.out
4276.056311324,mom,44,cashier,resource.serve
4276.056311324,mom,45,cashier,pipe.out
4349.545166858,mom,45,cashier,resource.serve
4349.545166858,mom,46,cashier,pipe.out
4351.142496692,mom,69,cashier,pipe.in
4414.086716200,mom,46,cashier,resource.serve
4414.086716200,mom,47,cashier,pipe.out
4467.040900972,mom,47,cashier,resource.serve
4467.040900972,mom,48,cashier,pipe.out
4475.884673721,mom,70,cashier,pipe.in
4514.621473152,mom,48,cashier,resource.serve
4514.621473152,mom,49,cashier,pipe.out
4607.274062150,mom,49,cashier,resource.serve
4607.274062150,mom,50,cashier,pipe.out
4677.584269025,mom,50,cashier,resource.serve
4677.584269025,mom,51,cashier,pipe.out
4737.398928536,single,2,cashier,pipe.in
4842.727443485,mom,51,cashier,resource.serve
4842.727443485,mom,52,cashier,pipe.out
4973.957747326,mom,52,cashier,resource.serve
4973.957747326,mom,53,cashier,pipe.out
5069.839703741,mom,53,cashier,resource.serve
5069.839703741,mom,54,cashier,pipe.out
5149.322585061,mom,54,cashier,resource.serve
5149.322585061,mom,55,cashier,pipe.out
5338.137595235,mom,55,cashier,resource.serve
5338.137595235,mom,56,cashier,pipe.out
5398.910963802,mom,56,cashier,resource.serve
5398.910963802,mom,57,cashier,pipe.out
5495.573453637,mom,57,cashier,resource.serve
5495.573453637,mom,58,cashier,pipe.out
5530.906161297,mom,58,cashier,resource.serve
5530.906161297,mom,59,cashier,pipe.out
5583.543944579,mom,71,cashier,pipe.in
5591.981689190,mom,59,cashier,resource.serve
5591.981689190,mom,60,cashier,pipe.out
5660.422538094,mom,60,cashier,resource.serve
5660.422538094,mom,61,cashier,pipe.out
5691.598404901,single,3,cashier,pipe.in
5727.275054753,mom,72,cashier,pipe.in
5740.725956295,mom,61,cashier,resource.serve
5740.725956295,mom,62,cashier,pipe.out
5807.830689941,mom,62,cashier,resource.serve
5807.830689941,mom,63,cashier,pipe.out
5920.479065315,mom,63,cashier,resource.serve
5920.479065315,mom,64,cashier,pipe.out
5998.097898256,mom,64,cashier,resource.serve
5998.097898256,mom,65,cashier,pipe.out
6059.220231351,mom,65,cashier,resource.serve
6059.220231351,mom,66,cashier,pipe.out
6107.270863397,mom,66,cashier,resource.serve
6107.270863397,mom,67,cashier,pipe.out
6325.954593567,mom,67,cashier,resource.serve
6325.954593567,mom,68,cashier,pipe.out
6372.633023844,mom,68,cashier,resource.serve
6372.633023844,mom,69,cashier,pipe.out
6449.759225804,mom,69,cashier,resource.serve
6449.759225804,mom,70,cashier,pipe.out
6477.764616752,mom,73,cashier,pipe.in
6496.670829666,mom,70,cashier,resource.serve
6496.670829666,single,2,cashier,pipe.out
6550.311258946,single,2,cashier,resource.serve
6550.311258946,mom,71,cashier,pipe.out
6639.219374537,single,4,cashier,pipe.in
6672.865196964,mom,71,cashier,resource.serve
6672.865196964,single,3,cashier,pipe.out
6719.218890840,single,3,cashier,resource.serve
6719.218890840,mom,72,cashier,pipe.out
6747.457714888,mom,72,cashier,resource.serve
6747.457714888,mom,73,cashier,pipe.out
6775.985801371,mom,73,cashier,resource.serve
6775.985801371,single,4,cashier,pipe.out
6820.666458098,single,4,cashier,resource.serve
7489.694373949,mom,74,cashier,pipe.in
7489.694373949,mom,74,cashier,pipe.out
7505.226337161,mom,75,cashier,pipe.in
7552.251469075,mom,74,cashier,resource.serve
7552.251469075,mom,75,cashier,pipe.out
7691.532307097,mom,75,cashier,resource.serve
8351.006739472,mom,76,cashier,pipe.in
8351.006739472,mom,76,cashier,pipe.out
8410.204785450,mom,76,cashier,resource.serve
8472.017822452,mom,77,cashier,pipe.in
8472.017822452,mom,77,cashier,pipe.out
8497.207984920,mom,78,cashier,pipe.in
8569.425862816,mom,77,cashier,resource.serve
8569.425862816,mom,78,cashier,pipe.out
8601.989130089,mom,79,cashier,pipe.in
8614.744686236,mom,80,cashier,pipe.in
8627.569860702,mom,78,cashier,resource.serve
8627.569860702,mom,79,cashier,pipe.out
8716.810098411,mom,79,cashier,resource.serve
8716.810098411,mom,80,cashier,pipe.out
8792.778475080,mom,81,cashier,pipe.in
8806.159262323,mom,80,cashier,resource.serve
8806.159262323,mom,81,cashier,pipe.out
8889.954982160,mom,81,cashier,resource.serve
8907.401484337,mom,82,cashier,pipe.in
8907.401484337,mom,82,cashier,pipe.out
8939.608251404,mom,83,cashier,pipe.in
8964.604834195,mom,82,cashier,resource.serve
8964.604834195,mom,83,cashier,pipe.out
9062.993184276,mom,84,cashier,pipe.in
9090.647409906,mom,83,cashier,resource.serve
9090.647409906,mom,84,cashier,pipe.out
9148.210842949,mom,84,cashier,resource.serve
9207.874148110,mom,85,cashier,pipe.in
9207.874148110,mom,85,cashier,pipe.out
